"Step","bright-planet-137 - test/psnr_scat","bright-planet-137 - test/psnr_scat__MIN","bright-planet-137 - test/psnr_scat__MAX"
"1","40.54635238647461","40.54635238647461","40.54635238647461"
"2","42.932125091552734","42.932125091552734","42.932125091552734"
"3","42.418209075927734","42.418209075927734","42.418209075927734"
"4","45.71700668334961","45.71700668334961","45.71700668334961"
"5","35.63467788696289","35.63467788696289","35.63467788696289"
"6","35.39272689819336","35.39272689819336","35.39272689819336"
"7","38.136680603027344","38.136680603027344","38.136680603027344"
"8","32.93239974975586","32.93239974975586","32.93239974975586"
"9","36.637428283691406","36.637428283691406","36.637428283691406"
"10","42.982181549072266","42.982181549072266","42.982181549072266"
"11","46.77737045288086","46.77737045288086","46.77737045288086"
"12","40.566768646240234","40.566768646240234","40.566768646240234"
"13","42.02169418334961","42.02169418334961","42.02169418334961"
"14","33.395626068115234","33.395626068115234","33.395626068115234"
"15","41.90010452270508","41.90010452270508","41.90010452270508"
"16","42.906410217285156","42.906410217285156","42.906410217285156"
"18","40.172889709472656","40.172889709472656","40.172889709472656"
"19","30.013118743896484","30.013118743896484","30.013118743896484"
"20","36.64285659790039","36.64285659790039","36.64285659790039"
"21","46.92431640625","46.92431640625","46.92431640625"
"22","35.21781539916992","35.21781539916992","35.21781539916992"
"23","37.58412170410156","37.58412170410156","37.58412170410156"
"24","36.98035430908203","36.98035430908203","36.98035430908203"
"25","43.31116485595703","43.31116485595703","43.31116485595703"
"26","34.372276306152344","34.372276306152344","34.372276306152344"
"27","44.2040901184082","44.2040901184082","44.2040901184082"
"28","32.07752990722656","32.07752990722656","32.07752990722656"
"29","46.476478576660156","46.476478576660156","46.476478576660156"
"30","38.67375946044922","38.67375946044922","38.67375946044922"
"31","43.30371856689453","43.30371856689453","43.30371856689453"
"32","38.67396926879883","38.67396926879883","38.67396926879883"
"33","44.96135330200195","44.96135330200195","44.96135330200195"
"34","42.17286682128906","42.17286682128906","42.17286682128906"
"35","36.56703186035156","36.56703186035156","36.56703186035156"
"36","39.890262603759766","39.890262603759766","39.890262603759766"
"37","44.72870635986328","44.72870635986328","44.72870635986328"
"38","40.81528091430664","40.81528091430664","40.81528091430664"
"39","40.64216995239258","40.64216995239258","40.64216995239258"
"40","40.02907943725586","40.02907943725586","40.02907943725586"
"41","41.82878112792969","41.82878112792969","41.82878112792969"
"42","30.32448959350586","30.32448959350586","30.32448959350586"
"43","42.24595260620117","42.24595260620117","42.24595260620117"
