"Step","woven-puddle-82 - train/epoch","woven-puddle-82 - train/epoch__MIN","woven-puddle-82 - train/epoch__MAX"
"1","0","0","0"
"104","1","1","1"
"199","2","2","2"
"294","3","3","3"
"389","4","4","4"
"484","5","5","5"
"587","6","6","6"
"682","7","7","7"
"777","8","8","8"
"872","9","9","9"
"967","10","10","10"
"1070","11","11","11"
"1165","12","12","12"
"1260","13","13","13"
"1355","14","14","14"
"1450","15","15","15"
"1553","16","16","16"
"1648","17","17","17"
"1743","18","18","18"
"1838","19","19","19"
"1933","20","20","20"
"2036","21","21","21"
"2131","22","22","22"
"2226","23","23","23"
"2321","24","24","24"
"2416","25","25","25"
"2519","26","26","26"
"2614","27","27","27"
"2709","28","28","28"
"2804","29","29","29"
"2899","30","30","30"
"3002","31","31","31"
"3097","32","32","32"
"3192","33","33","33"
"3287","34","34","34"
"3382","35","35","35"
"3485","36","36","36"
"3580","37","37","37"
"3675","38","38","38"
"3770","39","39","39"
"3865","40","40","40"
"3968","41","41","41"
"4063","42","42","42"
"4158","43","43","43"
"4253","44","44","44"
"4348","45","45","45"
"4451","46","46","46"
"4546","47","47","47"
"4641","48","48","48"
"4736","49","49","49"
"4831","50","50","50"
"4934","51","51","51"
"5029","52","52","52"
"5124","53","53","53"
"5219","54","54","54"
"5314","55","55","55"
"5417","56","56","56"
"5512","57","57","57"
"5607","58","58","58"
"5702","59","59","59"
"5797","60","60","60"
"5900","61","61","61"
"5995","62","62","62"
"6090","63","63","63"
"6185","64","64","64"
"6280","65","65","65"
"6383","66","66","66"
"6478","67","67","67"
"6573","68","68","68"
"6668","69","69","69"
"6763","70","70","70"
"6866","71","71","71"
"6961","72","72","72"
"7056","73","73","73"
"7151","74","74","74"
"7246","75","75","75"
"7349","76","76","76"
"7444","77","77","77"
"7539","78","78","78"
"7634","79","79","79"
"7729","80","80","80"
"7832","81","81","81"
"7927","82","82","82"
"8022","83","83","83"
"8117","84","84","84"
"8212","85","85","85"
"8315","86","86","86"
"8410","87","87","87"
"8505","88","88","88"
"8600","89","89","89"
"8695","90","90","90"
"8798","91","91","91"
"8893","92","92","92"
"8988","93","93","93"
"9083","94","94","94"
"9178","95","95","95"
"9281","96","96","96"
"9376","97","97","97"
"9471","98","98","98"
"9566","99","99","99"
"9661","100","100","100"
"9764","101","101","101"
"9859","102","102","102"
"9954","103","103","103"
"10049","104","104","104"
"10144","105","105","105"
"10247","106","106","106"
"10342","107","107","107"
"10437","108","108","108"
"10532","109","109","109"
"10627","110","110","110"
"10730","111","111","111"
"10825","112","112","112"
"10920","113","113","113"
"11015","114","114","114"
"11110","115","115","115"
"11213","116","116","116"
"11308","117","117","117"
"11403","118","118","118"
"11498","119","119","119"
"11593","120","120","120"
"11696","121","121","121"
"11791","122","122","122"
"11886","123","123","123"
"11981","124","124","124"
"12076","125","125","125"
"12179","126","126","126"
"12274","127","127","127"
